Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Air temperature [C],Process temperature [C],failure_type
1.0,0.22293364377182778,0.5357142857142856,0.0,0,0.3043478260869583,0.35802469135802717,5
0.0,0.13969732246798605,0.5837912087912087,0.011857707509881422,0,0.3152173913043459,0.37037037037036935,5
0.0,0.19208381839348088,0.6263736263736263,0.01976284584980237,0,0.3043478260869583,0.34567901234567877,5
0.0,0.15424912689173464,0.49038461538461536,0.02766798418972332,0,0.3152173913043459,0.35802469135802717,5
0.0,0.13969732246798605,0.4972527472527473,0.035573122529644265,0,0.3152173913043459,0.37037037037036935,5
1.0,0.1495925494761351,0.5233516483516483,0.043478260869565216,0,0.3043478260869583,0.35802469135802717,5
0.0,0.2270081490104774,0.5302197802197801,0.05533596837944664,0,0.3043478260869583,0.35802469135802717,5
0.0,0.20896391152502913,0.5,0.06324110671936758,0,0.3043478260869583,0.35802469135802717,5
1.0,0.29045401629802103,0.34065934065934067,0.07114624505928853,0,0.3260869565217397,0.37037037037036935,5
1.0,0.33352735739231665,0.3324175824175824,0.08300395256916995,0,0.34782608695652106,0.40740740740740744,5
2.0,0.35739231664726423,0.2760989010989011,0.09486166007905138,0,0.33695652173912727,0.39506172839505904,5
2.0,0.1484284051222352,0.5563186813186812,0.11462450592885375,0,0.35869565217391486,0.41975308641975584,5
1.0,0.09953434225844005,0.6497252747252747,0.13438735177865613,0,0.35869565217391486,0.41975308641975584,5
1.0,0.3341094295692667,0.3598901098901099,0.14624505928853754,0,0.35869565217391486,0.43209876543209713,5
0.0,0.5046565774155997,0.2170329670329671,0.15810276679841895,0,0.35869565217391486,0.43209876543209713,5
0.0,0.2176949941792783,0.6126373626373626,0.1660079051383399,0,0.35869565217391486,0.43209876543209713,5
1.0,0.08323632130384173,0.5879120879120879,0.17391304347826086,0,0.35869565217391486,0.43209876543209713,5
1.0,0.14086146682188594,0.5741758241758241,0.18577075098814227,0,0.36956521739130244,0.43209876543209713,5
2.0,0.08032596041909201,0.6964285714285714,0.1976284584980237,0,0.38043478260869623,0.43209876543209713,5
1.0,0.270081490104773,0.3942307692307692,0.21739130434782608,0,0.3913043478260838,0.44444444444444553,5
2.0,0.12048894062863802,0.5343406593406593,0.2292490118577075,0,0.3913043478260838,0.44444444444444553,5
0.0,0.1641443538998837,0.5631868131868131,0.24901185770750986,0,0.38043478260869623,0.44444444444444553,5
1.0,0.24039580908032598,0.3695054945054945,0.2569169960474308,0,0.3913043478260838,0.44444444444444553,5
0.0,0.3434225844004658,0.3008241758241758,0.26877470355731226,0,0.4021739130434776,0.4567901234567868,5
1.0,0.22875436554132722,0.46016483516483514,0.27667984189723316,0,0.4021739130434776,0.4567901234567868,5
0.0,0.4033760186263097,0.2678571428571429,0.2885375494071146,0,0.4021739130434776,0.4691358024691352,5
0.0,0.20023282887077998,0.4835164835164835,0.2964426877470355,0,0.4130434782608714,0.4691358024691352,5
2.0,0.3742724097788127,0.28571428571428575,0.3043478260869565,0,0.4130434782608714,0.4567901234567868,5
0.0,0.1577415599534343,0.554945054945055,0.32411067193675885,0,0.4130434782608714,0.4567901234567868,5
0.0,0.30558789289871946,0.3612637362637363,0.3320158102766798,0,0.4021739130434776,0.4567901234567868,5
1.0,0.09953434225844005,0.6098901098901098,0.33992094861660077,0,0.4130434782608714,0.4691358024691352,5
0.0,0.36670547147846333,0.2980769230769231,0.3517786561264822,0,0.4021739130434776,0.4567901234567868,5
0.0,0.14610011641443543,0.6112637362637362,0.35968379446640314,0,0.4021739130434776,0.4567901234567868,5
0.0,0.28928987194412115,0.3942307692307692,0.3675889328063241,0,0.3913043478260838,0.44444444444444553,5
1.0,0.22759022118742733,0.4244505494505495,0.37549407114624506,0,0.38043478260869623,0.41975308641975584,5
1.0,0.16530849825378346,0.6153846153846153,0.38735177865612647,0,0.38043478260869623,0.43209876543209713,5
1.0,0.24039580908032598,0.4519230769230769,0.3992094861660079,0,0.3913043478260838,0.43209876543209713,5
0.0,0.1577415599534343,0.48626373626373637,0.4110671936758893,0,0.38043478260869623,0.41975308641975584,5
2.0,0.1228172293364378,0.6442307692307693,0.41897233201581024,0,0.3913043478260838,0.43209876543209713,5
0.0,0.10593713620488943,0.6689560439560439,0.4387351778656126,0,0.38043478260869623,0.41975308641975584,5
0.0,0.11292200232828875,0.5714285714285714,0.44664031620553357,0,0.38043478260869623,0.41975308641975584,5
0.0,0.11641443538998841,0.6456043956043955,0.45454545454545453,0,0.38043478260869623,0.41975308641975584,5
1.0,0.11641443538998841,0.6222527472527473,0.4624505928853755,0,0.38043478260869623,0.41975308641975584,5
2.0,0.11874272409778819,0.6140109890109889,0.4743083003952569,0,0.38043478260869623,0.43209876543209713,5
1.0,0.17694994179278234,0.6002747252747253,0.49407114624505927,0,0.38043478260869623,0.41975308641975584,5
0.0,0.18684516880093138,0.6222527472527473,0.5059288537549407,0,0.38043478260869623,0.41975308641975584,5
1.0,0.3928987194412107,0.30219780219780223,0.5138339920948616,0,0.36956521739130244,0.40740740740740744,5
0.0,0.1455180442374855,0.5837912087912087,0.525691699604743,0,0.38043478260869623,0.41975308641975584,5
2.0,0.1495925494761351,0.6881868131868131,0.533596837944664,0,0.38043478260869623,0.43209876543209713,5
1.0,0.14202561117578583,0.5535714285714285,0.5533596837944663,0,0.3913043478260838,0.43209876543209713,5
0.0,0.9854481955762514,0.010989010989010992,0.5652173913043478,1,0.3913043478260838,0.41975308641975584,2
0.0,0.12514551804423757,0.7019230769230769,0.5731225296442687,0,0.3913043478260838,0.41975308641975584,5
2.0,0.19150174621653093,0.5494505494505494,0.5810276679841897,0,0.38043478260869623,0.40740740740740744,5
0.0,0.23108265424912688,0.42994505494505497,0.6007905138339921,0,0.36956521739130244,0.40740740740740744,5
0.0,0.3044237485448196,0.3612637362637363,0.608695652173913,0,0.36956521739130244,0.40740740740740744,5
0.0,0.20023282887077998,0.5068681318681318,0.616600790513834,0,0.38043478260869623,0.41975308641975584,5
0.0,0.17986030267753206,0.5302197802197801,0.6245059288537549,0,0.38043478260869623,0.41975308641975584,5
0.0,0.20081490104772992,0.5013736263736263,0.6324110671936758,0,0.38043478260869623,0.41975308641975584,5
1.0,0.28696158323632137,0.35302197802197804,0.6403162055335968,0,0.38043478260869623,0.40740740740740744,5
0.0,0.12223515715948785,0.695054945054945,0.6521739130434783,0,0.38043478260869623,0.41975308641975584,5
0.0,0.130966239813737,0.6703296703296703,0.6600790513833992,0,0.38043478260869623,0.41975308641975584,5
1.0,0.24679860302677536,0.47252747252747257,0.6679841897233201,0,0.38043478260869623,0.40740740740740744,5
